actor,timeStamp,object,result,verb,extension
"[{""objectType"":""agent"",""openId"":220}]",2018-04-19T05:12:29.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/Setting""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":7,""deviceId"":""28580500-BF01-4C2A-B20F-9DFD33326733""}]"
"[{""objectType"":""agent"",""openId"":220}]",2018-04-19T05:12:35.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/Setting""}]","[{""duration"":50}]","[{""display"":""suspended"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/suspended""}]","[{""classId"":7,""deviceId"":""28580500-BF01-4C2A-B20F-9DFD33326733""}]"
"[{""objectType"":""agent"",""openId"":220}]",2018-04-19T05:15:07.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo""}]",[{}],"[{""display"":""launched"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/launched""}]","[{""classId"":7,""deviceId"":""28580500-BF01-4C2A-B20F-9DFD33326733""}]"
"[{""objectType"":""agent"",""openId"":220}]",2018-04-19T05:15:08.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":7,""deviceId"":""28580500-BF01-4C2A-B20F-9DFD33326733""}]"
"[{""objectType"":""agent"",""openId"":220}]",2018-04-19T05:15:10.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/Setting""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":7,""deviceId"":""28580500-BF01-4C2A-B20F-9DFD33326733""}]"
"[{""objectType"":""agent"",""openId"":220}]",2018-04-19T05:15:10.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/Setting""}]",[{}],"[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":7,""deviceId"":""28580500-BF01-4C2A-B20F-9DFD33326733""}]"
"[{""objectType"":""agent"",""openId"":220}]",2018-04-19T05:15:11.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":7,""deviceId"":""28580500-BF01-4C2A-B20F-9DFD33326733""}]"
"[{""objectType"":""agent"",""openId"":220}]",2018-04-19T05:15:11.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit""}]",[{}],"[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":7,""deviceId"":""28580500-BF01-4C2A-B20F-9DFD33326733""}]"
"[{""objectType"":""agent"",""openId"":220}]",2018-04-19T05:15:17.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit""}]","[{""duration"":10}]","[{""display"":""suspended"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/suspended""}]","[{""classId"":7,""deviceId"":""28580500-BF01-4C2A-B20F-9DFD33326733""}]"
"[{""objectType"":""agent"",""openId"":220}]",2018-04-19T05:32:17.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo""}]",[{}],"[{""display"":""launched"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/launched""}]","[{""classId"":7,""deviceId"":""28580500-BF01-4C2A-B20F-9DFD33326733""}]"
