actor,timeStamp,object,result,verb,extension,,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:29:56.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/launched"",""display"":""launched""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:29:56.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started"",""display"":""started""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:29:58.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/9""}]","[{""continue"":true}]","[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved"",""display"":""moved""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:29:58.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/9/speaking""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved"",""display"":""moved""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:29:58.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/9/listening""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved"",""display"":""moved""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:29:58.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/9""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started"",""display"":""started""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:30:01.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/9/pronunciation""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved"",""display"":""moved""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:30:04.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started"",""display"":""started""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:30:07.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit""}]","[{""duration"":12}]","[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/suspended"",""display"":""suspended""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:30:16.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved"",""display"":""moved""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:30:16.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/resumed"",""display"":""resumed""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:30:17.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/speaking""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved"",""display"":""moved""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:30:17.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started"",""display"":""started""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:30:19.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/speaking/20""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved"",""display"":""moved""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
