actor,timeStamp,object,result,verb,extension,,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T04:51:33.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/basic_pronunciation/2/movie""}]","[{""position"":0}]","[{""display"":""played"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/played""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T04:52:06.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/basic_pronunciation/2/movie""}]","[{""duration"":38}]","[{""display"":""completed"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/completed""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T04:53:05.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/basic_pronunciation/2""}]","[{""completion"":false,""duration"":142}]","[{""display"":""finished"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/finished""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T04:53:05.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/basic_pronunciation""}]","[{""duration"":142}]","[{""display"":""finished"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/finished""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T04:53:06.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T04:53:09.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2""}]","[{""duration"":269}]","[{""display"":""suspended"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/suspended""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:21:30.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo""}]",[{}],"[{""display"":""launched"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/launched""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:21:30.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:21:32.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2""}]","[{""continue"":true}]","[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:21:32.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/basic_pronunciation""}]",[{}],"[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
