actor,timeStamp,object,result,verb,extension
"[{""objectType"":""agent"",""openId"":160}]",2018-05-22T14:15:44.000Z,"[{""objectId"":""kototomo/BasicUnit"",""objectType"":""activity""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":5,""deviceId"":""cfb32422-8374-46ba-b10d-78697fd95f5d""}]"
"[{""objectType"":""agent"",""openId"":160}]",2018-05-22T14:15:53.000Z,"[{""objectId"":""kototomo/BasicUnit/6"",""objectType"":""activity""}]","[{""continue"":false}]","[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":5,""deviceId"":""cfb32422-8374-46ba-b10d-78697fd95f5d""}]"
"[{""objectType"":""agent"",""openId"":160}]",2018-05-22T14:15:53.000Z,"[{""objectId"":""kototomoBasicUnit/6"",""objectType"":""activity""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":5,""deviceId"":""cfb32422-8374-46ba-b10d-78697fd95f5d""}]"
"[{""objectType"":""agent"",""openId"":160}]",2018-05-22T14:16:00.000Z,"[{""objectId"":""kototomo/BasicUnit"",""objectType"":""activity""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":5,""deviceId"":""cfb32422-8374-46ba-b10d-78697fd95f5d""}]"
"[{""objectType"":""agent"",""openId"":160}]",2018-05-22T14:16:04.000Z,"[{""objectId"":""kototomo/BasicUnit/6"",""objectType"":""activity""}]","[{""continue"":false}]","[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":5,""deviceId"":""cfb32422-8374-46ba-b10d-78697fd95f5d""}]"
"[{""objectType"":""agent"",""openId"":160}]",2018-05-22T14:16:04.000Z,"[{""objectId"":""kototomoBasicUnit/6"",""objectType"":""activity""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":5,""deviceId"":""cfb32422-8374-46ba-b10d-78697fd95f5d""}]"
"[{""objectType"":""agent"",""openId"":160}]",2018-05-22T14:16:07.000Z,"[{""objectId"":""kototomo/BasicUnit/6/poetry1/1"",""objectType"":""activity""}]","[{""continue"":false}]","[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":5,""deviceId"":""cfb32422-8374-46ba-b10d-78697fd95f5d""}]"
"[{""objectType"":""agent"",""openId"":160}]",2018-05-22T14:16:08.000Z,"[{""objectId"":""kototomoBasicUnit/6/poetry1/1"",""objectType"":""activity""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":5,""deviceId"":""cfb32422-8374-46ba-b10d-78697fd95f5d""}]"
"[{""objectType"":""agent"",""openId"":160}]",2018-05-22T14:16:08.000Z,"[{""objectId"":""kototomoBasicUnit/6/poetry1"",""objectType"":""activity""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":5,""deviceId"":""cfb32422-8374-46ba-b10d-78697fd95f5d""}]"
"[{""objectType"":""agent"",""openId"":160}]",2018-05-22T14:16:13.000Z,"[{""objectId"":""kototomoBasicUnit/6/poetry1/1/recorder"",""objectType"":""activity""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":5,""deviceId"":""cfb32422-8374-46ba-b10d-78697fd95f5d""}]"
"[{""objectType"":""agent"",""openId"":160}]",2018-05-22T14:16:16.000Z,"[{""objectId"":""kototomoBasicUnit/6/poetry1/1/recorder"",""objectType"":""activity""}]","[{""duration"":3}]","[{""display"":""completed"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/completed""}]","[{""classId"":5,""deviceId"":""cfb32422-8374-46ba-b10d-78697fd95f5d""}]"
"[{""objectType"":""agent"",""openId"":160}]",2018-05-22T14:16:19.000Z,"[{""objectId"":""kototomoBasicUnit/6/poetry1/1/recorder"",""objectType"":""activity""}]",[{}],"[{""display"":""played"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/played""}]","[{""classId"":5,""deviceId"":""cfb32422-8374-46ba-b10d-78697fd95f5d""}]"
"[{""objectType"":""agent"",""openId"":160}]",2018-05-22T14:16:32.000Z,"[{""objectId"":""kototomoBasicUnit/6/poetry1/1/recorder"",""objectType"":""activity""}]",[{}],"[{""display"":""played"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/played""}]","[{""classId"":5,""deviceId"":""cfb32422-8374-46ba-b10d-78697fd95f5d""}]"
"[{""objectType"":""agent"",""openId"":160}]",2018-05-22T14:16:54.000Z,"[{""objectId"":""kototomoBasicUnit/6/poetry1/1/recorder"",""objectType"":""activity""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":5,""deviceId"":""cfb32422-8374-46ba-b10d-78697fd95f5d""}]"
"[{""objectType"":""agent"",""openId"":160}]",2018-05-22T14:16:57.000Z,"[{""objectId"":""kototomoBasicUnit/6/poetry1/1/recorder"",""objectType"":""activity""}]","[{""duration"":2}]","[{""display"":""completed"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/completed""}]","[{""classId"":5,""deviceId"":""cfb32422-8374-46ba-b10d-78697fd95f5d""}]"
"[{""objectType"":""agent"",""openId"":160}]",2018-05-22T14:16:58.000Z,"[{""objectId"":""kototomoBasicUnit/6/poetry1/1/recorder"",""objectType"":""activity""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":5,""deviceId"":""cfb32422-8374-46ba-b10d-78697fd95f5d""}]"
"[{""objectType"":""agent"",""openId"":160}]",2018-05-22T14:16:59.000Z,"[{""objectId"":""kototomoBasicUnit/6/poetry1/1/recorder"",""objectType"":""activity""}]","[{""duration"":1}]","[{""display"":""completed"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/completed""}]","[{""classId"":5,""deviceId"":""cfb32422-8374-46ba-b10d-78697fd95f5d""}]"
