total_time_screentime,total_time_answer,day_average_time_screentime,day_average_time_answer,week_average_time_screentime,week_average_time_answer,Monday_average_time_screentime,Tuesday_average_time_screentime,Wesdnesday_average_time_screentime,Thursday_average_time_screentime,Friday_average_time_screentime,Saturday_average_time_screentime,Sunday_average_time_screentime,Monday_average_time_answer,Tuesday_average_time_answer,Wesdnesday_average_time_answer,Thursday_average_time_answer,Friday_average_time_answer,Saturday_average_time_answer,Sunday_average_time_answer,Monday_total_time_screentime,Tuesday_total_time_screentime,Wesdnesday_total_time_screentime,Thursday_total_time_screentime,Friday_total_time_screentime,Saturday_total_time_screentime,Sunday_total_time_screentime,Monday_total_time_answer,Tuesday_total_time_answer,Wesdnesday_total_time_answer,Thursday_total_time_answer,Friday_total_time_answer,Saturday_total_time_answer,Sunday_total_time_answer,play_complete_percent,question_count,correct_answer_percent,question_complete_percent,rewinded_count,play_count,suspended_count,resumed_count,launched_count,terminated_count,test_result,openId,question_Id
32996,107826,1431.695652,4688.086957,2188,7141.615385,169.0434783,431.2173913,430.0869565,263.7826087,136.826087,0.7391304348,0,445.9565217,1703,1386.478261,707.2608696,444.6956522,0.6956521739,0,3888,9918,9892,6067,3147,17,0,10257,39169,31889,16267,10228,16,0,51.48895293,576,96.18055556,78.58156028,12,505,85,44,8,0,96,75,17
46115,113156,491.8387097,1216.709677,1524.7,3771.8,98.79569892,54.94623656,82,20.88172043,51.43010753,20.22580645,163.5591398,283.7096774,140.9892473,158.5053763,67.15053763,133.0967742,55.86021505,377.3978495,9188,5110,7626,1942,4783,1881,15211,26385,13112,14741,6245,12378,5195,35098,21.78464606,1383,92.04627621,84.26294821,24,1569,232,62,70,0,92,60,8
52326,128571,657.9733333,1579.626667,1481.59375,3454.1875,70.98666667,19.09333333,61.54666667,32.90666667,7.666666667,165.04,300.7333333,254.9866667,84.62666667,218.52,90.65333333,25.84,290.56,614.44,5324,1432,4616,2468,575,12378,22555,19124,6347,16389,6799,1938,21792,46083,33.70981755,547,86.65447898,76.82333874,35,763,195,79,38,4,91,36,25
12790,33520,393,1022.566667,453.4615385,1179.884615,16.8,0,213.3,162.9,0,0,0,54.7,0,668.3666667,299.5,0,0,0,504,0,6399,4887,0,0,0,1641,0,20051,8985,0,0,0,31.01673102,427,94.3793911,87.93859649,1,536,54,31,10,0,100,222,13
41660,129091,501.3614458,1554.73494,1486.178571,4608.678571,14.86746988,60.78313253,123.8072289,126.4337349,35.19277108,48.84337349,91.43373494,68.24096386,193.7108434,355.1686747,377.9638554,132.3493976,181.3855422,245.9156627,1234,5045,10276,10494,2921,4054,7589,5664,16078,29479,31371,10985,15055,20411,35.43046358,1304,96.70245399,91.80445723,9,1560,219,67,49,68,94,220,55
14035,24117,292.25,502.4375,483.7241379,831.6206897,0.3125,11.29166667,232.125,11.66666667,23.375,8,5.479166667,0.3333333333,37.58333333,335,23.04166667,68.27083333,23.70833333,14.5,15,542,11142,560,1122,384,263,16,1804,16080,1106,3277,1138,696,41.43126177,419,76.37231504,82.94573643,0,311,120,56,32,17,98,427,12
20341,61008,460.1904762,1437.238095,919.8571429,2873.904762,20.19047619,36.80952381,302.7619048,21.45238095,37.47619048,25.61904762,15.88095238,35.57142857,139.047619,853.0238095,97.35714286,153.3095238,93.9047619,65.02380952,848,1546,12716,901,1574,1076,667,1494,5840,35827,4089,6439,3944,2731,57.59682224,437,77.34553776,49.77973568,2,427,98,40,24,4,96,419,12
23070,54066,718.1875,1681.34375,814.5454545,1983.363636,6.5625,259.21875,387.4375,8.40625,33.03125,10.65625,12.875,1.375,699.53125,794.4375,15.53125,133.65625,34.3125,2.5,210,8295,12398,269,1057,341,412,44,22385,25422,497,4277,1098,80,54.25055928,657,80.66971081,87.62376238,2,409,90,56,19,0,90,416,13
46342,170304,586.4473684,2162.644737,1465.357143,5486.857143,153.0394737,103.9868421,100.8289474,82.93421053,45.25,41.82894737,58.57894737,493.3026316,474.7894737,293.0394737,319.5921053,149.0526316,199.5921053,233.2763158,11631,7903,7663,6303,3439,3179,4452,37491,36084,22271,24289,11328,15169,17729,25.79019698,1333,86.87171793,86.76140613,7,1620,124,25,42,74,91,79,30
31206,96610,409.8026316,1271.184211,943.7878788,2927.575758,34.80263158,72.55263158,117.5394737,41.06578947,65.30263158,52.55263158,25.98684211,72.13157895,191.0921053,338.4078947,94.88157895,280.2105263,187.5131579,106.9473684,2645,5514,8933,3121,4963,3994,1975,5482,14523,25719,7211,21296,14251,8128,27.51354606,736,87.5,85.20475561,2,1204,178,70,39,20,100,439,23
18126,66121,487,1776.756757,621.3448276,2266.896552,77.97297297,114.4594595,256.6216216,0.05405405405,15.21621622,11.94594595,10.72972973,215.5675676,419.972973,957.7567568,0.02702702703,75.40540541,59.59459459,48.43243243,2885,4235,9495,2,563,442,397,7976,15539,35437,1,2790,2205,1792,75.02527806,743,68.64064603,83.90804598,2,247,102,41,9,0,94,434,5
21539,58035,622.2903226,1691.096774,741.9615385,2016.307692,0,47.5483871,496.2258065,1.096774194,0,0,77.41935484,0,199.6129032,1179.258065,2.935483871,0,0,309.2903226,0,1474,15383,34,0,0,2400,0,6188,36557,91,0,0,9588,46.08013937,535,76.44859813,87.60683761,8,619,80,38,7,0,95,429,2
9487,29576,262.1388889,821.1944444,357.16,1061.8,26.58333333,100.8888889,68.38888889,39.94444444,13.61111111,12.72222222,0,65.86111111,336.5555556,217.8888889,123.8055556,44.41666667,32.66666667,0,957,3632,2462,1438,490,458,0,2371,12116,7844,4457,1599,1176,0,27.22929936,393,79.6437659,82.05804749,5,457,18,6,9,7,96,410,8
13407,43692,317.8809524,1039.404762,476.8214286,1559.107143,14.42857143,101.2619048,64.52380952,18.73809524,11.97619048,30.73809524,76.21428571,59.35714286,308.2380952,153.4285714,69.54761905,30.4047619,127.7380952,290.6904762,606,4253,2710,787,503,1291,3201,2493,12946,6444,2921,1277,5365,12209,30.96330275,660,85.90909091,86.67687596,0,602,73,22,14,0,97,414,23
11867,47215,455.9615385,1815.961538,564.5238095,2248.333333,132.5384615,267.2307692,19.11538462,12.42307692,0,1.846153846,22.80769231,735.0384615,916.4230769,33.65384615,30.84615385,0,6.076923077,93.92307692,3446,6948,497,323,0,48,593,19111,23827,875,802,0,158,2442,29.60526316,414,94.20289855,88.48758465,1,428,53,17,15,0,88,382,12
32866,155672,527.3770492,2520.393443,1109.310345,5301.517241,89.81967213,0.1803278689,110.0491803,154.8852459,88.31147541,63.95081967,20.18032787,471.7704918,0.3606557377,597.295082,573.5901639,509.2459016,283.3770492,84.75409836,5479,11,6713,9448,5387,3901,1231,28778,22,36435,34989,31064,17286,5170,35.5887522,1847,94.20682187,96.34753735,2,1466,95,13,34,65,100,492,65
27048,86180,557.3829787,1769.255319,935.6071429,2969.821429,0.5531914894,49.91489362,234.9148936,205.6382979,0.1489361702,22.12765957,44.08510638,1.489361702,107.1489362,978.4042553,553.8297872,0.1276595745,20.80851064,107.4468085,26,2346,11041,9665,7,1040,2072,70,5036,45985,26030,6,978,5050,36.93759071,680,92.05882353,89.37677054,5,869,154,40,9,0,93,486,2
19838,49856,674.862069,1684.689655,782.84,1954.24,48.06896552,100.1724138,517.9655172,0,0,8.655172414,0,12.86206897,341.1724138,1318.931034,0,0,11.72413793,0,1394,2905,15021,0,0,251,0,373,9894,38249,0,0,340,0,54.55820477,390,77.69230769,77.04081633,0,324,71,33,13,1,80,152,9
9722,17728,962.4,1745.7,1203,2182.125,0,906.4,9.1,46.9,0,0,0,0,1645.3,17.3,83.1,0,0,0,0,9064,91,469,0,0,0,0,16453,173,831,0,0,0,58.89830508,255,65.88235294,78.30188679,2,97,34,20,6,0,81,135,5
6790,26755,434.4,1727.066667,501.2307692,1992.769231,76.8,13.26666667,18.6,0,0,0,325.7333333,164.7333333,32.06666667,617.8666667,0,0,0,912.4,1152,199,279,0,0,0,4886,2471,481,9268,0,0,0,13686,40.47619048,262,86.64122137,79.02097902,3,325,37,21,5,1,86,28,8
8497,23235,417.8235294,1130.176471,485.0909091,1308.090909,291.8235294,5.176470588,111.4705882,1.941176471,2.117647059,5.294117647,0,824.4117647,11.70588235,277.4117647,4.235294118,4.941176471,7.470588235,0,4961,88,1895,33,36,90,0,14015,199,4716,72,84,127,0,49.10714286,322,79.50310559,90.78014184,1,171,48,19,9,0,73,120,7
10533,33008,529.8235294,1670.588235,500.5,1491.75,60.47058824,407.2941176,0,0,33.58823529,0,28.47058824,269.2941176,1272.529412,0,0,116.7647059,0,12,1028,6924,0,0,571,0,484,4578,21633,0,0,1985,0,204,38.18770227,279,87.45519713,84.32055749,6,382,48,29,7,0,73,115,6
12493,43392,724.6666667,2686.333333,638.8333333,2484.833333,491.0666667,233.6,0,0,0,0,0,1839.533333,846.8,0,0,0,0,0,7366,3504,0,0,0,0,0,27593,12702,0,0,0,0,0,44.68085106,328,83.23170732,81.25,1,260,33,12,10,9,75,73,8
15688,31110,426.90625,882.125,683.05,1411.4,217.84375,21.21875,0,39.9375,0,8.09375,139.8125,414.8125,51.84375,0,53.96875,0,31.21875,330.28125,6971,679,0,1278,0,259,4474,13274,1659,0,1727,0,999,10569,64.4012945,291,69.75945017,69.15254237,6,220,70,32,12,2,80,20,5
