total_time_screentime,total_time_answer,day_average_time_screentime,day_average_time_answer,week_average_time_screentime,week_average_time_answer,Monday_average_time_screentime,Tuesday_average_time_screentime,Wesdnesday_average_time_screentime,Thursday_average_time_screentime,Friday_average_time_screentime,Saturday_average_time_screentime,Sunday_average_time_screentime,Monday_average_time_answer,Tuesday_average_time_answer,Wesdnesday_average_time_answer,Thursday_average_time_answer,Friday_average_time_answer,Saturday_average_time_answer,Sunday_average_time_answer,Monday_total_time_screentime,Tuesday_total_time_screentime,Wesdnesday_total_time_screentime,Thursday_total_time_screentime,Friday_total_time_screentime,Saturday_total_time_screentime,Sunday_total_time_screentime,Monday_total_time_answer,Tuesday_total_time_answer,Wesdnesday_total_time_answer,Thursday_total_time_answer,Friday_total_time_answer,Saturday_total_time_answer,Sunday_total_time_answer,play_complete_percent,question_count,correct_answer_percent,question_complete_percent,rewinded_count,play_count,suspended_count,resumed_count,launched_count,terminated_count,test_result,openId,question_Id
10792,30448,443.2857143,1367.619048,590.0714286,1887.285714,105.4285714,18.52380952,0,0,0,88.42857143,230.9047619,329.5238095,85.61904762,0,0,0,246.1428571,706.3333333,2214,389,0,0,0,1857,4849,6920,1798,0,0,0,5169,14833,60.95238095,353,61.47308782,82.5095057,2,123,72,45,2,0,69,48,0
7715,26021,344.05,1162.45,688.1,2324.9,59.65,63.7,76.95,32.05,6.45,76.1,29.15,204.1,206.25,176.1,151.9,20.25,321.8,82.05,1193,1274,1539,641,129,1522,583,4082,4125,3522,3038,405,6436,1641,28.91304348,303,77.55775578,84.28571429,6,327,59,19,19,33,61,42,13
7250,22581,733.5,1652,880.2,1982.4,60.5,0,158.8333333,0,0,0,514.1666667,9.5,0,138.5,0,0,0,1504,363,0,953,0,0,0,3085,57,0,831,0,0,0,9024,38.68613139,125,77.6,94.17475728,1,84,19,9,0,0,69,24,0
1951,6084,162.5833333,507,176.875,535,0.25,0,6.583333333,44.66666667,0.8333333333,0.1666666667,110.0833333,9.5,0,17.91666667,150.3333333,0.75,0.1666666667,328.3333333,3,0,79,536,10,2,1321,114,0,215,1804,9,2,3940,24.19928826,282,72.69503546,85.06224066,0,213,14,2,9,0,61,16,9
3959,12387,393.2,1238.7,436.8888889,1376.333333,193.7,0,0,0,0,0,199.5,512.1,0,0,0,0,0,726.6,1937,0,0,0,0,0,1995,5121,0,0,0,0,0,7266,18.59504132,142,88.73239437,88.73239437,0,197,20,5,10,2,64,332,2
15376,43809,659.5454545,1850.772727,941.5,2606.785714,31.27272727,81.36363636,354.2272727,127.3181818,0,0,65.36363636,126.8636364,189.6818182,1033.5,301.8636364,0,0,198.8636364,688,1790,7793,2801,0,0,1438,2791,4173,22737,6641,0,0,4375,42.62560778,502,68.12749004,71.75732218,3,354,56,32,22,1,62,413,14
18304,37686,622.7894737,1340.105263,576.1666667,1187.416667,273.6315789,188.5789474,42.68421053,0,0.7368421053,0,117.1578947,640.6315789,337.6315789,178.2105263,0,0.05263157895,0,183.5789474,5199,3583,811,0,14,0,2226,12172,6415,3386,0,1,0,3488,31.75487465,258,79.45736434,71.83098592,5,245,65,41,12,1,71,374,7
18035,43013,517.6428571,1215.035714,540.4736842,994.4736842,189.5357143,245.3571429,61.5,15.17857143,3.642857143,0,2.428571429,589.2857143,500.7857143,99.42857143,9.75,12.75,0,3.035714286,5307,6870,1722,425,102,0,68,16500,14022,2784,273,357,0,85,31.85298622,658,63.2218845,84.04040404,1,445,91,43,18,28,63,362,9
21247,46524,609.6969697,1314.969697,906.5238095,2035.619048,293.7878788,41.24242424,24,22.51515152,4.909090909,0.7878787879,222.4545455,610.0606061,46.15151515,75.06060606,60.3030303,8.515151515,0.7878787879,514.0909091,9695,1361,792,743,162,26,7341,20132,1523,2477,1990,281,26,16965,32.21830986,524,70.03816794,63.76068376,2,770,147,94,14,2,69,329,26
7834,27217,244.78125,850.46875,326.375,1133.958333,70.28125,4.28125,0.1875,1.28125,0,3.3125,165.4375,295.78125,13.375,0.28125,2.25,0,11.34375,527.4375,2249,137,6,41,0,106,5294,9465,428,9,72,0,363,16878,41.2037037,388,65.72164948,67.63925729,1,254,62,19,13,21,68,328,21
19014,68180,461.9473684,1985,672.8461538,2898.846154,42.31578947,3.684210526,0,0,0,1.578947368,414.3684211,153,3.736842105,0,0,0,1.578947368,1826.684211,804,70,0,0,0,30,7873,2907,71,0,0,0,30,34707,48.84742042,504,63.29365079,78.72860636,7,466,66,36,11,12,67,313,12
10687,27618,355.8,920.2,561.7894737,1452.947368,97.06666667,14.56666667,1,8.866666667,43.86666667,0,190.4333333,180.2666667,38.73333333,0.9,22.03333333,152.2,0,526.0666667,2912,437,30,266,1316,0,5713,5408,1162,27,661,4566,0,15782,44.71744472,429,66.43356643,74.21875,2,225,44,10,7,0,69,12,5
6660,19479,204.6206897,663.0689655,312.3157895,1012.052632,0,0,7.310344828,175.1724138,0.2413793103,5.206896552,16.68965517,0,0,27.55172414,590.2068966,0.5517241379,18.4137931,26.34482759,0,0,212,5080,7,151,484,0,0,799,17116,16,534,764,27.176781,337,71.81008902,82.09459459,0,276,67,12,25,43,65,224,10
6182,13152,1024.6,1866.8,896.75,1514.25,0,0,717,307.2,0,0.4,0,0,0,1211.2,655.4,0,0.2,0,0,0,3585,1536,0,2,0,0,0,6056,3277,0,1,0,74.72527473,258,56.58914729,60.33057851,0,23,22,10,0,0,61,200,11
18093,57840,521.5666667,1587.5,745.0952381,2267.857143,0,23.93333333,154.6333333,310.6,28.93333333,3,0.4666666667,0,97.13333333,470.1333333,936,68.9,13.93333333,1.4,0,718,4639,9318,868,90,14,0,2914,14104,28080,2067,418,42,33.71069182,545,71.37614679,84.41558442,13,527,72,18,27,37,69,181,15
9798,27441,559.4666667,1532.8,733.7777778,2053.444444,274.4,9.666666667,2.733333333,144.6666667,0,0,128,869.7333333,16.2,11.4,330.0666667,0,0,305.4,4116,145,41,2170,0,0,1920,13046,243,171,4951,0,0,4581,21.68421053,262,90.45801527,80.6122449,2,372,39,15,9,0,66,179,4
11698,28767,399.3448276,986.137931,681.2352941,1682.235294,24.10344828,52.86206897,7.344827586,2.24137931,10.27586207,110.862069,191.6551724,66.5862069,127.6551724,26.65517241,5.793103448,4.24137931,27.03448276,728.1724138,699,1533,213,65,298,3215,5558,1931,3702,773,168,123,784,21117,29.08309456,352,75.85227273,80.79268293,1,495,54,22,10,0,64,312,8
22810,79926,712.46875,2497.34375,920.375,3323.166667,129.8125,0,63,44,129.59375,102.21875,243.84375,316.96875,0,267.125,117.8125,546.4375,487.59375,761.40625,4154,0,2016,1408,4147,3271,7803,10143,0,8548,3770,17486,15603,24365,53.27951564,511,72.60273973,84.70319635,1,463,59,21,2,0,63,294,3
12379,27445,455.4444444,1010.037037,585.5714286,1298.619048,47.11111111,87.59259259,300.962963,17.92592593,0,0,1.851851852,74.18518519,222.7777778,639.8518519,68.44444444,0,0,4.777777778,1272,2365,8126,484,0,0,50,2003,6015,17276,1848,0,0,129,39.0625,490,66.53061224,81.45363409,0,312,47,12,14,0,60,438,17
13169,29476,786.25,2179.916667,786.25,2179.916667,0,0,0,0,0,80.58333333,705.6666667,0,0,0,0,0,265.25,1914.666667,0,0,0,0,0,967,8468,0,0,0,0,0,3183,22976,26.97160883,240,84.58333333,77.52808989,3,463,44,26,6,1,64,292,6
9224,28220,529.7058824,1583.529412,643.2142857,1922.857143,0,0,215.9411765,289.3529412,0,0,24.41176471,0,0,834.9411765,704.8823529,0,0,43.70588235,0,0,3671,4919,0,0,415,0,0,14194,11983,0,0,743,60.90909091,252,67.85714286,82.21153846,1,86,49,28,10,2,70,508,0
17319,41712,341.0952381,1030.428571,477.5333333,1442.6,0,5.857142857,251.6190476,48.23809524,35.38095238,0,0,0,11.71428571,830,104.6666667,84.04761905,0,0,0,123,5284,1013,743,0,0,0,246,17430,2198,1765,0,0,53.45303867,552,65.94202899,79.09482759,2,337,95,61,12,0,61,472,9
20271,53903,1074.777778,2859.055556,1289.733333,3430.866667,4.777777778,40.66666667,478.1111111,3.388888889,0,0,547.8333333,0.1666666667,174.9444444,1504.944444,11.38888889,0,0,1167.611111,86,732,8606,61,0,0,9861,3,3149,27089,205,0,0,21017,49.2481203,509,59.92141454,80.73878628,1,135,59,37,3,0,60,418,1
